All,"Të gjitha"
None,Asnjë
Custom,"E personalizuar"
"Are you sure?","A jeni të sigurt?"
Remove,Hiq
close,mbyll
Notifications,Njoftimet
"1 Hour","1 orë"
"2 Hours","2 orë"
"6 Hours","6 orë"
"12 Hours","12 orë"
"24 Hours","24 orë"
notice,lajmerim
Close,Mbyll
"Recently Compared Products (%1)","Produkte të krahasuara së fundmi (%1)"
"Only %1%2%3 left in stock","Vetëm %1%2%3 në gjendje"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Vetëm <span id=""%1_max_allowed"">%2</span> në gjendje"
Details,Detajet
"In stock","Në gjendje"
Root,Rrënjë
Delete,Fshi
Save,Ruaj
Name,Emri
SKU,"Kodi i produktit"
Visibility,Dukshmëria
Status,Statusi
Price,Çmimi
Position,Pozicioni
"Add Subcategory","Shto nënkategori"
"Add Root Category","Shto kategori rrënjë"
Day,Ditë
Month,Muaj
Year,Vit
"WYSIWYG Editor","Redaktori WYSIWYG"
"Add Product","Shto Produkt"
label,emërtimi
"Add Attribute Set","Shto grupin e atributeve"
"Close Window","Mbyll dritaren"
"New Product","Produkt i ri"
"Save & Edit","Ruaj dhe Ndrysho"
Change,Ndrysho
"Category Name","Emri i kategorisë"
"Parent Category","Kategoria Prind"
"First Name",Emri
"Last Name",Mbiemri
"Are you sure you want to remove this item from your Compare Products list?","A jeni të sigurt që doni të hiqni këtë produkt nga lista e Produkteve të Krahasuara?"
"Are you sure you want to remove all items from your Compare Products list?","A jeni të sigurt që doni të hiqni të gjitha produket nga lista e Produkteve të Krahasuara?"
Qty,Sasia
"In Stock","Në gjendje"
"Out of Stock","Nuk ka gjendje"
"Item Price","Çmimi i artikullit"
"Image Size","Madhësia e imazhit"
"Image Resolution","Madhësia e imazhit"
"Hide from Product Page","Fshi nga faqja e produktit"
"Compare Products","Krahasoni produktet"
"Add to Cart","Shtoni në shportë"
"Add to Wish List","Shto në listën e dëshirave"
"Add to Compare","Shto në listën e krahasimeve"
"More Information","Më shumë të dhëna"
"Recently Viewed/Compared Products","Produkte të shikuara së fundmi"
"Recently Compared Products","Produkte të krahasuara së fundmi"
"Add To Cart","Shtoni në shportë"
"Add To Compare","Shto në listën e krahasimeve"
"Are you sure you want to delete this category?","A jeni i sigurt që dëshironi ta fshini këtë kategori?"
from,nga
to,në
"You have no items in your shopping cart.","Ju nuk keni artikuj në shportën tuaj."
"Sign In","Hyr në Llogari"
"Create a Company Account","Krijo një llogari si kompani"
"Create an Account","Krijo një llogari"
"Create New Company Account","Krijo një llogari të re si kompani"
"Force Sign-In","Hyr në llogari me forcë"
"Back to Sign In","Kthehuni tek Identifikimi"
"Sign-in Information","Informacione ne lidhje me identifikimin"
"More information","Më shumë të dhëna"
"Admin Sign In","Identifikohu si Administrator"
Reviews,Përshtypjet
"Pending Reviews","Përshtypjet në shqyrtim"
"All Reviews","Të gjitha përshtypjet"
"Reviews %1","Përshtypjet %1"
"Search entire store here...","Kërko në të gjithë dyqanin..."
"Now Shopping by","Duke blerë në"
Previous,Paraardhëse
